Day	Hour	Year	Event user ID	Support	Support %
3	 	 	 	1114	0.017467933
2	 	 	 	1441	0.022595415
31	 	 	 	889	0.01393985
30	 	 	 	2255	0.035359237
29	 	 	 	2835	0.044453852
28	 	 	 	1649	0.025856933
27	 	 	 	2400	0.03763289
26	 	 	 	1356	0.021262584
25	 	 	 	1350	0.021168502
24	 	 	 	1438	0.022548374
23	 	 	 	2021	0.03169003
22	 	 	 	1044	0.016370308
21	 	 	 	1252	0.019631825
20	 	 	 	1784	0.027973782
19	 	 	 	2745	0.04304262
18	 	 	 	3105	0.04868755
17	 	 	 	5808	0.0910716
16	 	 	 	1717	0.026923198
15	 	 	 	1686	0.026437106
14	 	 	 	2191	0.034355693
13	 	 	 	2231	0.03498291
12	 	 	 	1971	0.030906012
11	 	 	 	2979	0.046711825
10	 	 	 	2469	0.038714837
9	 	 	 	2250	0.035280835
6	 	 	 	1828	0.02866372
4	 	 	 	2310	0.036221657
1	 	 	 	2608	0.040894408
8	 	 	 	1918	0.030074952
7	 	 	 	1779	0.02789538
5	 	 	 	1351	0.021184182
 	14	 	 	4098	0.06425816
 	11	 	 	5112	0.080158055
 	9	 	 	2511	0.039373413
 	23	 	 	2846	0.044626337
 	22	 	 	3391	0.053172138
 	10	 	 	3365	0.05276445
 	20	 	 	4814	0.075485304
 	18	 	 	3941	0.061796345
 	17	 	 	4135	0.064838335
 	15	 	 	5117	0.08023646
 	13	 	 	3950	0.061937466
 	12	 	 	3696	0.057954654
 	21	 	 	3601	0.05646502
 	19	 	 	3669	0.057531282
 	0	 	 	1591	0.02494747
 	16	 	 	3984	0.0624706
 	8	 	 	1504	0.023583278
 	6	 	 	681	0.010678333
 	 	18	 	7122	0.111675605
 	 	17	 	18519	0.2903848
 	 	16	 	22212	0.3482924
 	 	15	 	15921	0.24964719
 	 	 	2	1416	0.022203406
 	 	 	109	1657	0.025982376
 	 	 	6361	1456	0.02283062
 	 	 	6391	644	0.010098159
 	 	 	5464	4745	0.07440336
 	 	 	4773	1260	0.019757267
30	 	17	 	847	0.013281275
30	 	16	 	747	0.0117132375
29	 	17	 	1043	0.016354628
29	 	16	 	1315	0.020619689
28	 	16	 	813	0.012748142
27	15	 	 	1102	0.017279768
27	 	16	 	693	0.010866498
27	 	15	 	1292	0.02025904
23	 	16	 	1125	0.017640417
20	 	15	 	963	0.015100198
19	 	15	 	1974	0.030953053
18	11	 	 	1158	0.01815787
18	 	16	 	1486	0.023301031
18	 	15	 	745	0.011681877
17	 	17	 	4776	0.07488945
17	 	15	 	649	0.010176561
17	 	 	5464	4399	0.06897795
16	 	15	 	778	0.012199329
14	 	16	 	1037	0.016260546
14	 	15	 	677	0.010615611
13	 	16	 	976	0.015304042
13	 	15	 	841	0.013187192
12	 	16	 	1100	0.017248409
11	20	 	 	1085	0.017013203
11	 	18	 	1158	0.01815787
11	 	16	 	986	0.015460846
10	 	16	 	1103	0.01729545
9	 	16	 	887	0.01390849
6	 	17	 	718	0.011258506
4	 	17	 	1026	0.016088061
4	 	16	 	693	0.010866498
1	 	16	 	1531	0.024006648
8	 	17	 	787	0.0123404525
 	14	17	 	1471	0.023065826
 	14	16	 	1274	0.019976793
 	14	15	 	936	0.014676828
 	11	17	 	1307	0.020494245
 	11	16	 	2303	0.036111895
 	11	15	 	965	0.015131558
 	11	 	6361	1107	0.01735817
 	9	16	 	874	0.0137046445
 	9	15	 	798	0.012512936
 	23	17	 	873	0.013688964
 	23	16	 	1005	0.015758773
 	23	15	 	703	0.011023301
 	22	17	 	1023	0.01604102
 	22	16	 	1292	0.02025904
 	22	15	 	759	0.011901402
 	10	17	 	1280	0.020070875
 	10	16	 	1043	0.016354628
 	10	15	 	705	0.011054662
 	20	18	 	1444	0.022642456
 	20	17	 	1282	0.020102236
 	20	16	 	1221	0.019145733
 	20	15	 	867	0.013594882
 	20	 	2	990	0.015523568
 	18	17	 	781	0.01224637
 	18	16	 	1878	0.029447738
 	18	15	 	1031	0.016166463
 	17	17	 	820	0.012857905
 	17	16	 	1845	0.028930286
 	17	15	 	1122	0.017593376
 	15	17	 	1375	0.02156051
 	15	16	 	1115	0.017483614
 	15	15	 	2090	0.032771975
 	15	 	109	1045	0.016385987
 	13	17	 	1449	0.022720858
 	13	16	 	1212	0.01900461
 	13	15	 	806	0.012638379
 	12	17	 	1194	0.018722363
 	12	16	 	1134	0.01778154
 	12	15	 	937	0.014692508
 	21	17	 	1135	0.017797222
 	21	16	 	1191	0.018675322
 	21	15	 	844	0.0132342335
 	19	17	 	1227	0.019239815
 	19	16	 	1297	0.020337442
 	19	15	 	848	0.013296955
 	16	17	 	930	0.014582746
 	16	16	 	1690	0.026499828
 	16	15	 	1004	0.015743094
 	 	18	2	1105	0.01732681
 	 	17	5464	4659	0.07305485
 	 	16	6361	1037	0.016260546
 	 	16	4773	1258	0.019725908
 	 	15	109	1037	0.016260546
27	15	15	 	1041	0.016323267
18	11	16	 	1039	0.016291905
17	 	17	5464	4398	0.068962276
11	20	18	 	987	0.015476527
1	 	16	4773	1234	0.019349579
 	11	16	6361	1023	0.01604102
 	15	15	109	1027	0.01610374
27	15	15	109	1023	0.01604102
18	11	16	6361	1017	0.015946938
11	20	18	2	981	0.0153824445
